refer_id,name,photo,shop_number,market_name,street_address,city,state,language,contact_name,phone_number,shop_ownership,product_min_price,product_max_price,est_year,auto_approve_buyer_request,gst_number,created_date
200000,Kumar Fashion,,I2466,Millennium Textile Market,"Kamela Darwaja, Ring Road,",Surat,Gujarat,3,,9824172261,Y,0,0,0,0,,2017-01-11 08:46:57
200002,Jain Tex,,B1,Metro Tower,Ring Road,Surat,Gujarat,3,Ravi Jain,9238780777,Y,350,800,1996,0,,2017-01-11 08:46:57
200003,Mehul Silk Mills,,1002#,Sai Krupa Market,,Surat,Gujarat,1,,9428058951,,,,,0,,2017-01-11 08:46:57
293301,Ratanmani NX,,2081,Abhinandan Market,Ring Road,Surat,Gujarat,1,rahul jain,9909438365,N,250,275,2014,0,,2017-02-12 07:58:21
200007,Arihant Designer,,I10#,New TT,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9376833763,Y,200,3000,2006,0,,2017-01-11 08:46:57
200008,Apparel Store,,2020-2025,Padmavati Textile Market,Near Sahara Darwaja,Surat,Gujarat,1,Kishan,9601768979,Y,140,1500,2015,0,,2017-01-11 08:46:57
200009,Resham Creation,,3031,Rohit,Ring Road,Surat,Gujarat,1,Pankaj,7878843886,Y,0,0,0,0,,2017-01-11 08:46:57
200010,Vani Sarees,,506,Ashoka Tower,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,3,Ramesh Jain,9427333171,N,250,550,2007,0,,2017-01-11 08:46:57
200011,Vijay Moti Prints,,L75#,Radhey,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9978264644,,,,,0,,2017-01-11 08:46:57
200012,Shanti Creations ,,A1055#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9979452851,,,,,0,,2017-01-11 08:46:57
200013,Shree Krishna Textile ,,1093#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9427435896,N,,,1995,0,,2017-01-11 08:46:57
200014,Sumati Sarees,,294#,Abhinandan,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9825577217,,,,,0,,2017-01-11 08:46:58
200015,K.P.Creation,,I-2510,Millenium Mkt,Ring Road,Surat,Gujarat,1,Kunal,9726557799,,,,,0,,2017-01-11 08:46:58
200016,Navrang Textile ,,1069#1070#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9825559543,,,,,0,,2017-01-11 08:46:58
200017,Market Office New TT,,3,New TT,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9328880771,,,,,0,,2017-01-11 08:46:58
200018,Labella Sarees,,697#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9687480051,N,,,2016,0,,2017-01-11 08:46:58
200020,Market Office Ashoka Tower,,3,Ashoka Tower,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9825140149,,,,,0,,2017-01-11 08:46:58
200021,Lahar Sarees ,,2062#,Mahaveer,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9825259531,N,,,2012,0,,2017-01-11 08:46:58
200023,Roop Rekha Designer ,,640#641#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9429988707,N,,,2007,0,,2017-01-11 08:46:58
200024,Nikhil Sarees ,,I13#,New TT,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9327110010,Y,,,1995,0,,2017-01-11 08:46:58
200025,Vastrakala Creatipm,,153 Silk City Marlet,,,Surat,Gujarat,1,Jayantilal,9375836455,,,,,0,,2017-01-11 08:46:58
200026,Avantika Prints,Refer-20022017-2781a3bae1d8a9cb543bee57c570d8ab.jpeg,I1468-69,Millennium Textile Market,"Kamela Darwaja, Ring Road",Surat,Gujarat,1,Puneet Parakh,7597259560,N,350,900,2016,0,,2017-01-11 08:46:58
200027,SURESH KNIT FAB,,"Hoziwala Sachine, SURAT",Textile Tower,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,RAJESHBHAI,9825287842,Y,,,2007,0,,2017-01-11 08:46:58
200029,Vanshika Creation,,2060#,Mahaveer,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,8758017909,N,,,2013,0,,2017-01-11 08:46:58
200031,Priya Laxmi Prints,,2099#2100#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9898346287,,,,,0,,2017-01-11 08:46:58
200032,Dhanvarsha Textiles,Refer-21032017-4112784bf718e43aa33499731dc8ad49.jpeg,2043,Abhinandan Textile Market,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,Govind Singh,9825411173,Y,250,450,2012,0,,2017-01-11 08:46:58
200034,Majisa Synthetics,,4055#,Sai Krupa Market,,Surat,Gujarat,1,,9376582765,,,,,0,,2017-01-11 08:46:58
200035,Santosh Prints ,,3055#,Mahaveer,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9879488922,Y,90,200,1991,0,,2017-01-11 08:46:58
200036,Priya Fashion ,,2058#,Mahaveer,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9426879341,,,,,0,,2017-01-11 08:46:58
200037,Siddharth Sarees,,2047#2048#2049#,Abhinandan,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9726070603,,,,,0,,2017-01-11 08:46:58
200038,Pansari Creation,,I4615#I4616#I4617#I4618#,RKTM,"Ring Road, ",Surat,Gujarat,1,,9904080000,Y,,,1990,0,,2017-01-11 08:46:58
200039,Sunshine Fashion,,A557#A558#A557#A558#A557#A558#,Adarsh-2,"Kamela Darwaja, Ring Road,",Surat,Gujarat,1,,9825283136,,,,,0,,2017-01-11 08:46:58
200040,Vidhi Shree,,I2462#I2463#,Millennium,"Kamela Darwaja, Ring Road,",Surat,Gujarat,1,,9879329549,,,,,0,,2017-01-11 08:46:58
200041,Panetar Prints ,,1050#,Millennium,"Kamela Darwaja, Ring Road,",Surat,Gujarat,1,,9408873126,,,,,0,,2017-01-11 08:46:58
200042,Mangal Murti Sarees,,E1613#E1614#E1615#E1616#E1617#,Raghukul,,Surat,Gujarat,1,,9377081372,,,,,0,,2017-01-11 08:46:58
200043,MB Textiles,,332#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9427122685,N,140,250,2005,0,,2017-01-11 08:46:58
200044,Tanu Fashion,,N-1736-37,Millennium Textile Market,Ring Road,Surat,Gujarat,1,Rahul Pansari,9825788236,Y,500,3000,2009,0,,2017-01-11 08:46:58
200045,Mojo Lifestyles,,108,Sarvodaya,"1st Floor, Ring Road",Surat,Gujarat,1,Vivek Agarwal,9376457646,Y,0,0,0,0,,2017-01-11 08:46:58
200046,Aaileela Fashion,,1006#,Shiv Shakti,,Surat,Gujarat,1,,9712747531,,,,,0,,2017-01-11 08:46:58
200049,Nandishwar Fabrics,,B106,Tirupati Textile Market,Ring Road,Surat,Gujarat,1,Gaurav,9427123237,N,18,90,2015,0,,2017-01-11 08:46:59
200050,Monarch Creation,,J3544#J3545#,Millennium,"Kamela Darwaja, Ring Road,",Surat,Gujarat,1,,7878846360,,750,2000,,0,,2017-01-11 08:46:59
200051,Surinder Singh,,K.K Road,,Raipur,Raipur,Madhya Pradesh,1,Surinder,9824199021,Y,140,650,2005,0,,2017-01-11 08:46:59
200053,Vinita Fashions ,,4019#,Mahaveer,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9898128755,,,,,0,,2017-01-11 08:46:59
200054,Rajesh Silk Corporation,,R3115#,STM,"Ring Road, ",Surat,Gujarat,1,,9825160711,,,,,0,,2017-01-11 08:46:59
200055,Mayuri Prints Pvt. Ltd.,,S619 -20,JJ,Ring Road,Surat,Gujarat,1,Abhishek Jain,7878337785,Y,0,0,0,0,,2017-01-11 08:46:59
200058,Ashok Saree,,1156#1157#,Vankar,"Ring Road, ",Surat,Gujarat,1,,9724171818,,,,,0,,2017-01-11 08:46:59
200059,BR Silk Mills,,A3060#A3061#A3062#A3063#A3064#A3065#A3066#A3067#,Raghukul,,Surat,Gujarat,1,,9374793125,,,,,0,,2017-01-11 08:46:59
200060,Madhuvan Saree,,220-21,Shree Sai Ram Market,Ring Road,Surat,Gujarat,1,Jignesh Sanghani,9327381356,Y,2000000,8000000,2016,0,,2017-01-11 08:46:59
200061,Bharti Fashion ,,666#,Abhishek,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9375593666,N,,,,0,,2017-01-11 08:46:59
200063,Sanjay Textiles,,1062#,Mahaveer,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9879689284,,,,,0,,2017-01-11 08:46:59
200065,Yanshi Art Prints,,S622-23,J.J A/c Market,Ring Road,Surat,Gujarat,1,Sonu,9687430111,N,300,900,2014,0,,2017-01-11 08:46:59
200066,Roop Laxmi Creation,,1016#,Ashoka Tower ,"Salasar Hanuman Marg, Ring Road",Surat,Gujarat,1,,9426393743,,,,,0,,2017-01-11 08:46:59
