refer_id,name,photo,shop_number,market_name,street_address,city,state,language,contact_name,phone_number,shop_ownership,product_min_price,product_max_price,est_year,auto_approve_buyer_request,gst_number,created_date
245669,Saran,,,,"8-2-577/1, Road No 7, Banjara Hills, Opp.GVK Mall Lane,",Hyderabad,Andhra Pradesh,1,,9246568595,,,,,0,,2017-01-16 10:37:27
245672,Saree Niketan,,,,"Shop No 1, Ground Floor, Vijetha Navratan Trade Centre, Dilsukh Nagar, Near Foot Over Bridge,",Hyderabad,Andhra Pradesh,1,,9100955509,,,,2013,0,,2017-01-16 10:37:33
245684,Shakti Brothers,,,,"House No 21-1-804 to 806, Lower Ground Floor, Bhgray Agarwal, Nabi Khana, Patel Market,",Hyderabad,Andhra Pradesh,1,,9296102662,,,,,0,,2017-01-16 10:37:51
245686,Sharada Sarees,,,,"1-3-1061, Ground Floor, Balaji Mansion, Kavadiguda, Beside Hanuman Temple,",Hyderabad,Andhra Pradesh,1,,9030475003,,500,50000,2011,0,,2017-01-16 10:37:53
245687,Sheetha Prints,,,,"2-123,  Sai Nagar,  Chaitanyapuri,  Dilsukhnagar, ",Hyderabad,Andhra Pradesh,1,Narahari S. ,9849042103,,,,,0,,2017-01-16 10:37:55
245691,Shilpa Matching Centre,,,,"Shop No 4-5-442/1&2, Sriranga Complex, Badichowdi, Sultan Bazar,",Hyderabad,Andhra Pradesh,1,,9441583559,,100,8000,1983,0,,2017-01-16 10:38:03
245692,Shivani Maching Centre,,,,"House No 12-13-1236, A103, Ruhaina Apartments, Tarnaka, Adjacent to St. Ann's School,",Hyderabad,Andhra Pradesh,1,,9246192998,,200,12000,2006,0,,2017-01-16 10:38:05
245695,Shree Bhavani,,,,"No.-2-2-1089/1/1/C, Golnaka, Beside Church, Amberprth, Amberpet Road,",Hyderabad,Andhra Pradesh,1,,9573958802,,200,10000,2006,0,,2017-01-16 10:38:10
245696,Shree Fashion,,,,"Lig 613, Road No 5, Kphb Colony, Near Malabar Gold Lane, Beside Divya Daimond,",Hyderabad,Andhra Pradesh,1,,8106790900,,100,5000,2016,0,,2017-01-16 10:38:11
245712,Shri Raj Laxmi Sarees Centre,,,,"21-1-475 Back Side 94 Bus Stop Opp High Court Near Madina Circle Hyderabad,",Hyderabad,Andhra Pradesh,1,,8008471051,,100,1500,2002,0,,2017-01-16 10:38:36
245715,Shubh Vivah Designers,,,,"House No 4-6-73/2&3, Survey No 3, Ram Bagh Road, Attapur, Near Pillar No 143,",Hyderabad,Andhra Pradesh,1,,8801507340,,800,200000,2005,0,,2017-01-16 10:38:40
245721,Silk Planet,,,,"2/64/2/4, Canara Bank Building, 6th Floor, Mega Hills-Madhapur,",Hyderabad,Andhra Pradesh,1,,9700118088,,,,,0,,2017-01-16 10:38:50
245723,Singhania'S,,,,"Road,  Opp. Care Hospital,  Road No. 11,  Banjara Hills, ",Hyderabad,Andhra Pradesh,1,Sailesh Agarwal,9394578862,,,,,0,,2017-01-16 10:38:53
245726,SJ Traders,,,,"Door No 28, 2nd Floor, New Madina Complex, R, Near Madina Market High Court Road,",Hyderabad,Andhra Pradesh,1,,9849264284,,150,100000,1992,0,,2017-01-16 10:38:58
